time,gFx,gFy,gFz,TgF
9.57031E-4,0.2143,0.9767,0.0445,1.001
0.001233802,0.2194,0.9757,0.0442,1.001
0.001444635,0.2174,0.9769,0.0452,1.002
0.001915208,0.2177,0.9777,0.0462,1.003
0.005109896,0.2147,0.9743,0.0457,0.999
0.006139531,0.2140,0.9721,0.0469,0.996
0.008728854,0.2113,0.9747,0.0454,0.998
0.014120989,0.2094,0.9779,0.0447,1.001
0.014507239,0.2064,0.9791,0.0462,1.002
0.015640312,0.2052,0.9794,0.0484,1.002
0.019106354,0.2045,0.9796,0.0494,1.002
0.021326875,0.2047,0.9772,0.0506,1.000
0.022797135,0.2064,0.9774,0.0498,1.000
0.024983125,0.2069,0.9762,0.0498,0.999
0.027669323,0.2074,0.9760,0.0474,0.999
0.030438021,0.2084,0.9750,0.0457,0.998
0.032091041,0.2103,0.9740,0.0440,0.997
0.037719114,0.2123,0.9760,0.0435,1.000
0.037949739,0.2106,0.9755,0.0445,0.999
0.039192187,0.2094,0.9743,0.0467,0.998
0.041468385,0.2091,0.9735,0.0457,0.997
0.043960052,0.2086,0.9703,0.0489,0.994
0.046277396,0.2055,0.9723,0.0523,0.995
0.048545625,0.2033,0.9713,0.0535,0.994
0.051084427,0.2045,0.9713,0.0555,0.994
0.053358958,0.2047,0.9718,0.0555,0.995
0.055598021,0.2038,0.9699,0.0525,0.992
0.057836041,0.2040,0.9699,0.0484,0.992
0.061947291,0.2055,0.9711,0.0423,0.993
0.062961614,0.2074,0.9703,0.0398,0.993
0.064995729,0.2108,0.9672,0.0374,0.991
0.067619166,0.2123,0.9684,0.0401,0.992
0.070580364,0.2121,0.9681,0.0445,0.992
0.072274948,0.2113,0.9691,0.0479,0.993
0.074403646,0.2123,0.9681,0.0511,0.992
0.078830989,0.2123,0.9677,0.0528,0.992
0.079240833,0.2116,0.9662,0.0533,0.991
0.081465677,0.2113,0.9674,0.0530,0.992
0.084032135,0.2111,0.9694,0.0491,0.993
0.086208229,0.2125,0.9696,0.0464,0.994
0.088556823,0.2143,0.9681,0.0432,0.993
0.091062239,0.2118,0.9694,0.0430,0.993
0.093573958,0.2106,0.9701,0.0408,0.994
0.095681979,0.2082,0.9706,0.0408,0.993
0.097953958,0.2047,0.9708,0.0435,0.993
0.100542552,0.2035,0.9718,0.0452,0.994
0.102837031,0.2035,0.9725,0.0459,0.995
0.104983593,0.2025,0.9716,0.0472,0.994
0.107313333,0.2052,0.9713,0.0496,0.994
0.111835208,0.2072,0.9711,0.0501,0.994
0.112080729,0.2094,0.9721,0.0476,0.995
0.114441927,0.2113,0.9725,0.0459,0.996
0.11692,0.2135,0.9725,0.0452,0.997
0.119143281,0.2145,0.9723,0.0428,0.997
0.121424531,0.2145,0.9725,0.0413,0.997
0.123728489,0.2147,0.9721,0.0440,0.996
0.12625,0.2130,0.9708,0.0447,0.995
0.128685625,0.2133,0.9696,0.0472,0.994
0.131014791,0.2116,0.9701,0.0498,0.994
0.13340875,0.2086,0.9701,0.0494,0.994
0.135663698,0.2079,0.9699,0.0503,0.993
0.138033593,0.2050,0.9696,0.0508,0.992
0.14027651,0.2050,0.9689,0.0508,0.992
0.142686146,0.2052,0.9679,0.0496,0.991
0.145065989,0.2055,0.9694,0.0479,0.992
0.147580625,0.2060,0.9689,0.0472,0.992
0.149889583,0.2055,0.9681,0.0454,0.991
0.152134375,0.2072,0.9667,0.0447,0.990
0.154543333,0.2067,0.9672,0.0437,0.990
0.156772448,0.2079,0.9677,0.0447,0.991
0.159094479,0.2074,0.9684,0.0447,0.991
0.161535885,0.2096,0.9696,0.0440,0.993
0.163882812,0.2103,0.9706,0.0437,0.994
0.166750885,0.2116,0.9696,0.0437,0.993
0.168937916,0.2116,0.9674,0.0442,0.991
0.171001823,0.2108,0.9674,0.0447,0.991
0.173233906,0.2113,0.9684,0.0437,0.992
0.175613229,0.2094,0.9694,0.0435,0.993
0.178055521,0.2091,0.9703,0.0450,0.994
0.180342916,0.2096,0.9711,0.0472,0.995
0.183046093,0.2103,0.9708,0.0457,0.994
0.185548073,0.2118,0.9723,0.0447,0.996
0.187504062,0.2103,0.9716,0.0428,0.995
0.189793125,0.2089,0.9713,0.0445,0.995
0.192023958,0.2103,0.9728,0.0464,0.996
0.194527552,0.2094,0.9733,0.0472,0.997
0.196887916,0.2094,0.9738,0.0469,0.997
0.199312916,0.2101,0.9747,0.0474,0.998
0.201583385,0.2116,0.9733,0.0494,0.997
0.204172604,0.2118,0.9757,0.0508,1.000
0.206151875,0.2096,0.9752,0.0511,0.999
0.208490208,0.2103,0.9752,0.0525,0.999
0.214905208,0.2116,0.9757,0.0523,1.000
0.215156979,0.2128,0.9752,0.0515,1.000
0.215825573,0.2123,0.9738,0.0520,0.998
0.217845416,0.2118,0.9745,0.0537,0.999
0.220218385,0.2116,0.9750,0.0533,0.999
0.222760573,0.2101,0.9755,0.0540,0.999
0.224904948,0.2118,0.9762,0.0552,1.000
0.227278333,0.2103,0.9747,0.0550,0.999
0.2296525,0.2113,0.9743,0.0557,0.998
0.232233958,0.2106,0.9752,0.0557,0.999
0.234330104,0.2096,0.9769,0.0545,1.001
0.236943385,0.2079,0.9747,0.0550,0.998
0.239071927,0.2069,0.9735,0.0564,0.997
0.241480052,0.2050,0.9721,0.0567,0.995
0.244186145,0.2052,0.9733,0.0564,0.996
0.246194479,0.2057,0.9747,0.0567,0.998
0.248716458,0.2050,0.9728,0.0559,0.996
0.250812448,0.2062,0.9743,0.0559,0.997
0.253175416,0.2064,0.9725,0.0550,0.996
0.255552552,0.2067,0.9735,0.0555,0.997
0.257916979,0.2072,0.9735,0.0550,0.997
0.260859323,0.2086,0.9738,0.0547,0.997
0.262772343,0.2084,0.9730,0.0540,0.997
0.265188437,0.2094,0.9721,0.0540,0.996
0.26728276,0.2103,0.9730,0.0540,0.997
0.269676562,0.2123,0.9733,0.0555,0.998
0.272079948,0.2130,0.9728,0.0535,0.997
0.274299323,0.2108,0.9743,0.0528,0.998
0.276847708,0.2113,0.9733,0.0533,0.997
0.27919526,0.2123,0.9713,0.0547,0.996
0.281689739,0.2106,0.9708,0.0535,0.995
0.283761666,0.2116,0.9735,0.0511,0.998
0.286090364,0.2096,0.9721,0.0501,0.996
0.2885525,0.2089,0.9689,0.0503,0.992
0.290778593,0.2091,0.9691,0.0494,0.993
0.293106093,0.2096,0.9701,0.0494,0.994
0.295694427,0.2091,0.9718,0.0484,0.995
0.298450208,0.2101,0.9696,0.0484,0.993
0.300214843,0.2108,0.9696,0.0476,0.993
0.302728385,0.2096,0.9659,0.0469,0.990
0.304995468,0.2113,0.9662,0.0462,0.990
0.307293906,0.2121,0.9669,0.0457,0.991
0.309560573,0.2091,0.9662,0.0452,0.990
0.31472625,0.2067,0.9659,0.0437,0.989
0.315108073,0.2074,0.9684,0.0423,0.991
0.31677552,0.2040,0.9689,0.0398,0.991
0.319341354,0.2050,0.9679,0.0389,0.990
0.321396406,0.2057,0.9679,0.0384,0.990
0.323825833,0.2062,0.9667,0.0376,0.989
0.32618901,0.2077,0.9679,0.0371,0.991
0.328469687,0.2079,0.9691,0.0386,0.992
0.331138645,0.2099,0.9669,0.0384,0.990
0.333165833,0.2103,0.9681,0.0374,0.991
0.33600375,0.2111,0.9684,0.0364,0.992
0.337893073,0.2128,0.9689,0.0347,0.993
0.340206041,0.2140,0.9686,0.0335,0.993
0.342661354,0.2167,0.9691,0.0330,0.994
0.34495177,0.2174,0.9681,0.0320,0.993
0.347518281,0.2157,0.9691,0.0320,0.993
0.349612968,0.2140,0.9684,0.0337,0.992
0.352045677,0.2133,0.9701,0.0340,0.994
0.3546825,0.2113,0.9703,0.0337,0.994
0.356659427,0.2089,0.9691,0.0354,0.992
0.359015468,0.2074,0.9701,0.0371,0.993
0.361358229,0.2067,0.9696,0.0371,0.992
0.364054062,0.2062,0.9696,0.0391,0.992
0.366083958,0.2060,0.9699,0.0386,0.992
0.368483073,0.2045,0.9691,0.0391,0.991
0.370870573,0.2042,0.9677,0.0381,0.990
0.373274166,0.2055,0.9677,0.0364,0.990
0.375489635,0.2069,0.9677,0.0362,0.990
0.377958489,0.2079,0.9681,0.0364,0.991
0.380574583,0.2096,0.9699,0.0364,0.993
0.382758489,0.2118,0.9708,0.0367,0.994
0.384896198,0.2133,0.9696,0.0364,0.993
0.387385677,0.2123,0.9691,0.0362,0.993
0.389717448,0.2123,0.9689,0.0357,0.993
0.392069791,0.2121,0.9684,0.0359,0.992
0.394472135,0.2121,0.9696,0.0364,0.993
0.396901145,0.2125,0.9694,0.0367,0.993
0.399005052,0.2125,0.9694,0.0384,0.993
0.40141927,0.2116,0.9703,0.0369,0.994
0.403839635,0.2125,0.9708,0.0374,0.995
0.406165833,0.2130,0.9711,0.0371,0.995
0.408594947,0.2138,0.9718,0.0374,0.996
0.412886458,0.2128,0.9701,0.0367,0.994
0.413485625,0.2113,0.9703,0.0354,0.994
0.416320781,0.2123,0.9703,0.0330,0.994
0.418239947,0.2121,0.9718,0.0320,0.995
0.420311041,0.2113,0.9721,0.0332,0.995
0.422818854,0.2108,0.9708,0.0335,0.994
0.424959062,0.2096,0.9725,0.0347,0.995
0.427274218,0.2101,0.9718,0.0384,0.995
0.43192125,0.2113,0.9721,0.0401,0.996
0.433277291,0.2094,0.9703,0.0396,0.993
0.437919322,0.2096,0.9708,0.0413,0.994
0.438282552,0.2086,0.9716,0.0408,0.995
0.439164062,0.2072,0.9713,0.0403,0.994
0.441315781,0.2079,0.9716,0.0386,0.994
0.443788854,0.2101,0.9691,0.0374,0.992
0.446418333,0.2096,0.9703,0.0374,0.993
0.448651718,0.2072,0.9686,0.0384,0.991
0.450777916,0.2082,0.9696,0.0403,0.993
0.453763177,0.2086,0.9681,0.0423,0.991
0.45554776,0.2101,0.9677,0.0432,0.991
0.45786651,0.2106,0.9708,0.0454,0.994
0.460243645,0.2118,0.9701,0.0467,0.994
0.462854427,0.2125,0.9703,0.0457,0.994
0.464976875,0.2113,0.9701,0.0467,0.994
0.467362187,0.2111,0.9706,0.0454,0.994
0.469670937,0.2123,0.9711,0.0447,0.995
0.472107291,0.2118,0.9703,0.0452,0.994
0.474304531,0.2099,0.9713,0.0459,0.995
0.47673802,0.2091,0.9711,0.0459,0.994
0.479521197,0.2096,0.9691,0.0467,0.993
0.481458177,0.2089,0.9708,0.0484,0.994
0.483906406,0.2082,0.9696,0.0496,0.993
0.486446875,0.2064,0.9706,0.0511,0.994
0.488544322,0.2057,0.9725,0.0518,0.995
